,id,skills,edu_1,edu_2,edu_3,org_1,org_2,org_3,org_4,organization_title_1,label
159,lucasbruand,Java Python Programming Language XML SQL Scala Project Management Statistics Software Project Management Big Data Distributed Systems Agile Methodologies Apache Kafka Java Enterprise Edition Spark NoSQL Spring Framework Cassandra Test Driven Development Data Architecture High Performance Computing Java profiling Storm Trident SEPA Equity Derivatives Mthodes agiles                          ,"2002, Master of Engineering Ecole Centrale Lyon", , ,Senior ML Engineer Continuity,Co-Founder tenaven,NLP IA Expert Fortune 2000 Global Company,Data Intensive System Solution Architect STET,Senior ML Engineer,1
160,kamil-mahmood-7160a116b,Java C Machine Learning C Python C RESTful WebServices Code Review Systems Programming Machine Learning Engineer                                          ,"Bachelor of Science - BS, Computer Software Engineering University of Management and Technology - UMT", , ,"ML Engineer SlashNext, Inc.","Associate ML Engineer SlashNext, Inc.","SDET SlashNext, Inc.", ,ML Engineer,1
161,girisairam,C Python Programming Language SQL Machine Learning Data Analysis Microsoft Azure Programming Teamwork Public Speaking C Deep Learning Data Mining Natural Language Processing NLP Data Science Artificial Intelligence AI Microsoft SQL Server Amazon Web Services AWS C Pattern Recognition Recurrent Neural Networks RNN Reinforcement Learning Speech Recognition Graphical Models ASPNET Web API Microsoft Technologies Web Technologies                          ,"Master of Science, Machine Learning and Artificial Intelligence Liverpool John Moores University","PG Diploma, Machine Learning and Artificial Intelligence International Institute of Information Technology Bangalore","Bachelor of Technology (B.Tech.), Electronics and Communications Engineering Godavari Institute of Engineering & Technology (GIET)",AI & ML Engineer Hewlett Packard Enterprise,Data Science Engineer (Intelligent Automation) Automation Anywhere,Consultant Deloitte Consulting,Software Developer Virtusa,AI & ML Engineer,1
162,guilleripa,Git HTML Reactjs Scrum Heroku Ruby on Rails                                              ,"Bachelor's degree, Computer Science Universidad de la República","Analista en Computación, Computer Science Universidad de la República",Engineering Colegio Seminario,Lead ML Engineer Pento,Machine Learning Engineer Tryolabs,Learning Analytics Intern edilabs,Web Development Intern WyeWorks,Lead ML Engineer,1
163,shubham-jain-321839b6,Python Programming Language Cascading Style Sheets CSS SQL HTML Microsoft Word Machine Learning Data Analysis C Programming Language Microsoft Office Leadership Project Management Microsoft Excel Deep Learning PowerPoint Artificial Neural Networks Tableau Matlab Analytical Skills Research Management Maple TensorFlow SAS Programming Convolutional Neural Networks CNN Recurrent Neural Networks RNN Robotics Linear Algebra Tkinter Visual Basic for Applications VBA CNC Manufacturing Linkage Manufacturing Processes Adams Internal Combustion Engines                  ,"B.Tech.-M.Tech. Dual Degree, Mechanical Engineering Indian Institute of Technology, Kanpur","Preparation for Indian Institute of Technology-Joint Entrance Exam (IIT-JEE) Resonance Eduventures Pvt. Ltd.,Kota","High School, Science and Mathematics Alpha English School",AI/ML Engineer AppZen,"Manager, Research & Development Bajaj Auto Ltd","Assistant Manager, Research & Development Bajaj Auto Ltd",Post Graduate Trainee Engineer Bajaj Auto Ltd,AI/ML Engineer,1
164,rajaalakshmi-sankaran-7b4004128,Python Programming Language Linux Machine Learning C Programming Language Image Processing                                               ,"Bachelor of Engineering - BE, Electrical, Electronics and Communications Engineering National Engineering College", , ,AI/ML Engineer  VVDN Technologies,Engineer Intern VVDN Technologies, , ,AI/ML Engineer ,1
165,krupal-purohit-aa4a4816a,Java SQL python Linux HTML Machine Learning Data Analysis C Programming Language Leadership Public Speaking Project Management Deep Learning Natural Language Processing NLP Computer Vision Google Cloud Platform GCP TensorFlow PyTorch Keras Amazon Web Services AWS Django Artificial Intelligence Internet of Things IoT Performance Tuning                             ,"Bachelor of Engineering - BE, Information Technology Gujarat Technological University", , ,AI ML Engineer smartSense Consulting Solutions,Artificial Intelligence Engineer Staunchsys IT Services Pvt. Ltd.,Machine Learning Engineer Floatbot,AI intern Floatbot,AI ML Engineer,1
166,aris-hovsepyan-b650631a6,Java Python Spring Framework Hibernate Spring Java Spring Hibernate                                            ,"Bachelor's degree, Informatics and Computer Science Yerevan State University", , ,ML Engineer I Krisp, , , ,ML Engineer I,1
167,diegomartinauad,JavaScript HTML Nodejs SQL Git Microsoft Word Reactjs MongoDB Microsoft Excel Microsoft PowerPoint Python R Matlab SAS Extraer transformar cargar ETL Desarrollo del frontend Hojas de estilos en cascada CSS shiny Control de calidad de los datos Manipulacin de datos Gestin de riesgos financieros                             ,BSc in Aerospace Engineering Universidad Politécnica de Madrid,BSc in Aerospace Engineering (year abroad) Universidade de São Paulo,Deep Learning Saturdays.AI,Data & ML Engineer indigitall,Consultant EY, , ,Data & ML Engineer,1
168,mysteryvaibhav,Java C JavaScript Git Machine Learning Programming Microsoft Office C Python Matlab SQLite Lex Yacc                                       ,"Master of Science - MS, Artificial Intelligence Carnegie Mellon University","Bachelor's Degree, Computer Science Indian Institute of Technology, Kanpur","10th & 12th, Science (PCM) Sunbeam School Varanasi (CBSE)",NLP/ML Engineer Apple,Research Assistant Carnegie Mellon University - School of Computer Science - Language Technologies Institute,Senior Software Engineer Samsung R&D Institute India,Internship IBM,NLP/ML Engineer,1
