,id,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51
14,ishvinder17,Java,Python Programming Language,Data Engineering,Machine Learning,Problem Solving,C Programming Language,C,Deep Learning,Python,Data Structures,Algorithms,Hadoop,Computer Vision,PyTorch,Operating Systems,PLSQL,Unix,Scripting,IBM Cognos Insights,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
15,tharun-agaram,Python Programming Language,MySQL,SQL,Machine Learning,Data Analysis,Public Speaking,Deep Learning,Data Mining,Natural Language Processing NLP,Statistics,Data Science,Probability,Statistical Modeling,OpenCV,Computer Vision,Google Cloud Platform GCP,TensorFlow,Communication,Matplotlib,NumPy,ScikitLearn,Neural Networks,Convolutional Neural Networks CNN,Flask,Recurrent Neural Networks RNN,Dialogflow,Google Data Studio,keras,Statistical Analysis,pandas,Speech Recognition,NVIDIA cuDNN,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
16,khumairraj,Data Analysis,Deep Learning,Python,Arduino,Robotics,Bioinformatics,Event Management,Team Mentoring,CPP,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
17,nibraz-munas-197265157,Java,JavaScript,Python Programming Language,Microsoft Office,Leadership,Public Speaking,ObjectOriented Programming OOP,Database Management System DBMS,Software Quality,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
18,tharuka-ckasthuri,Java,Python Programming Language,Big Data Analytics,Machine Learning,Data Analysis,Software Development,Databases,Problem Solving,Deep Learning,BackEnd Web Development,Python,Algorithms,Scrum,Data Mining,Statistics,Hadoop,Mathematics,Apache Spark,PySpark,Docker Products,Cloud Computing,Agile Methodologies,Amazon Web Services AWS,Relational Databases,Apache Kafka,Data Warehousing,Web Scraping,ScikitLearn,RESTful WebServices,NLTK,Research and Development RD,JAVA,Spring Security,webRTC,GraphLab,Bokeh Visualization Library,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
19,badra-prabhashwari-jayalath-074ba2192,Java,SQL,python,Machine Learning,C Programming Language,C,Team Leadership,Statistics,R,Probability,Time Series Analysis,Business Intelligence BI,Time Management,Cloud Computing,Extract,Transform,Load ETL,SQL Server Reporting Services SSRS,Android Studio,Oracle Database,SQL Server Integration Services SSIS,GitHub,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
20,yash-vaishnav,Machine Learning,Deep Learning,Natural Language Processing NLP,Data Science,Computer Vision,Artificial Intelligence AI,Cloud Computing,Amazon Web Services AWS,Android Development,Reinforcement Learning,Deep Reinforcement Learning,Augmented Reality AR,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
21,nadeesha-e-a6027447,Big Data Analytics,Project Management,Python,Data Science,Hadoop,Business Analysis,Business Strategy,Engineering,Telecommunications,Business Intelligence,PLSQL,Data mining and Statistical analysis,Customer Value Management Campaign support,Data Science Analytics,Conduct Knowledge sharing sessions on Data Science and its applications,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
22,puneet-samnani,Python Programming Language,SQL,Machine Learning,Data Analysis,Software Development,Microsoft Azure,Teamwork,Leadership,Public Speaking,Project Management,Deep Learning,Team Leadership,Natural Language Processing NLP,Statistics,Data Visualization,Data Science,Hive,Tableau,Artificial Intelligence AI,Analytical Skills,Anaconda,Management,Team Management,Mathematics,Business Analysis,Apache Spark,TensorFlow,Strategic Planning,AWS SageMaker,MLOps,Natural Language Processing,Jupyter,AWS Lambda,Python,Plotly,Strategic Leadership,Motivational Speaking,Youth Development,Mentoring,Team Organisation,Team Mentoring,Team Coordination,Azure Developer,AWS Comprehend,nan,nan,nan,nan,nan,nan,nan,
23,pavatharanan-thavananthan-5788b354,MySQL,SQL,Linux,HTML,Data Analysis,Programming,Microsoft Office,Public Speaking,C,Microsoft Excel,Customer Service,Expressjs,Python,Statistics,PowerPoint,R,Matlab,Minitab,SPSS,Analytical Skills,Research,Analysis,Microsoft Power BI,Extract,Transform,Load ETL,Shell Scripting,SAS,Visual Studio,Photoshop,Kubernetes,Visual Basic NET VBNET,Social Media,PostgreSQL,Automation,Visual Basic for Applications VBA,Selenium,Django REST Framework,Amazon QuickSight,Okta Single SignOn,Kafka Streams,R tool,Macro,Selenium WebDriver,CDC,nan,nan,nan,nan,nan,nan,
