,id,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51
36,rukshan-hassim,Java,JavaScript,Python Programming Language,Web Development,Machine Learning,Scala,Hadoop,Hive,Microsoft SQL Server,Apache Spark,HiveQL,Android Development,C,jQuery,Android,NET Framework,Oracle Database,D Modeling,jQuery UI,ASPNET Core,Unreal Engine,Blender,Kendo,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
37,sandaru-disala-peellapitiya-00b1b1127,Java,C,JavaScript,PHP,MySQL,HTML,Cascading Style Sheets CSS,AngularJS,Nodejs,SQL,Linux,HTML,Scala,Databases,Adobe Photoshop,Leadership,C,MongoDB,Deep Learning,Python,Data Visualization,Predictive Modeling,Hadoop,Yarn,Tableau,Statistical Data Analysis,Statistical Modeling,Microsoft SQL Server,R Programming Language,Predictive Analytics,Big Data,Cloud Computing,Amazon Web Services AWS,Data Warehousing,NoSQL,Neural Networks,Maven,Microsoft Azure Machine Learning,Oracle Database,Solr,Neoj,Cassandra,PhpMyAdmin,Probabilistic Models,Airflow,AWS Glue,Snowflake Cloud,powerBi,STAT,nan,nan,
38,shehan-tharuka,Java,JavaScript,Cascading Style Sheets CSS,Bootstrap,Nodejs,SQL,python,HTML,Graphic Design,Adobe Photoshop,Reactjs,MongoDB,User Interface Design,Web Design,User Experience UX,Adobe XD,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
39,vinushan-selvaraj-49b329126,Python Programming Language,MySQL,SQL,Linux,Data Engineering,Machine Learning,Data Analysis,Software Development,Programming,Microsoft Office,C,ObjectOriented Programming OOP,Deep Learning,Data Structures,Algorithms,Natural Language Processing NLP,Data Visualization,Data Science,Predictive Modeling,Artificial Intelligence AI,Microsoft Power BI,DevOps,Docker Products,Big Data,Data Modeling,Data Warehousing,Containerization,PostgreSQL,Recommender Systems,Cassandra,Investments,Web Analytics,Apache Flink,Business Analytics,Finance,Performance Dashboards,Automation,TransactSQL TSQL,FinTech,Capital Markets,Apache Beam,Online Analytical Processing,Data Streaming,Cryptocurrency,nan,nan,nan,nan,nan,nan,nan,
40,thilina-ranaweera-68627473,Java,C,JavaScript,MySQL,HTML,Cascading Style Sheets CSS,SQL,Web Development,HTML,Microsoft Word,Machine Learning,Software Development,Programming,Microsoft Office,java,Teamwork,Leadership,Public Speaking,C,Project Management,Microsoft Excel,Microsoft PowerPoint,Customer Service,Python,Data Analytics,ElasticSearch,PowerPoint,R,Artificial Neural Networks,Research,Management,Microsoft Power BI,Microsoft SQL Server,Artificial Intelligence,Android Development,C,Android,QlikView,ASPNET,NET,Digital Marketing,Qlik Sense,Logstash,Kibana,WPF,Windows Mobile,nan,nan,nan,nan,nan,
41,virajinie-prasangika-517a17146,MySQL,SQL,Data Engineering,Data Analysis,Databases,C Programming Language,Microsoft Office,Teamwork,Leadership,Microsoft Excel,Data Science,Data Analytics,Microsoft Power BI,Business Intelligence BI,Database Development,Business Intelligence Tools,Database Management System DBMS,Qlik Sense,Database Queries,Qlik NPrinting,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
42,hashan-pasindu-47824b152,Java,Python Programming Language,MySQL,Data Engineering,Microsoft Azure,Microsoft Office,Leadership,Microsoft PowerPoint,Team Leadership,Extract,Transform,Load ETL,Oracle Database,Data Pipelines,PLSQL,Azure Databricks,Azure DevOps,Talend,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
43,niranga-kandearachchi,JavaScript,MySQL,Nodejs,SQL,Big Data Analytics,Data Analysis,Scala,Project Management,Angular,Vuejs,Python,Statistics,Data Science,Data Analytics,Hadoop,R,Tableau,Time Series Analysis,Statistical Data Analysis,PowerBI,Research,Operations Research,Apache Spark,Business Intelligence BI,Econometrics,Amazon Web Services AWS,Apache Spark Streaming,Apache Kafka,C,Matplotlib,Operations Management,Spark,NoSQL,SQL Server Reporting Services SSRS,SciPy,Pandas,Cassandra,Economics,Apache Flume,Superset,Chess,SpagoBI,Zabbix,Grafana,MariaDB,SQL Report Writing,nan,nan,nan,nan,nan,
44,samitha-hennayake-70b306174,Python Programming Language,MySQL,SQL,python,Microsoft Word,Data Analysis,Leadership,Public Speaking,Microsoft Excel,Data Mining,R,Minitab,SPSS,Research,Strategic Planning,RDBMS,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
45,ruchira-dias-b9a188194,Java,JavaScript,SQL,Data Analysis,Problem Solving,ObjectOriented Programming OOP,Python,Team Leadership,Statistics,Critical Thinking,Management,Web Applications,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
