,id,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51
223,arishali813,Java,JavaScript,Python Programming Language,SQL,Machine Learning,Data Analysis,Databases,Programming,Microsoft Excel,Python,Data Structures,Data Mining,Data Visualization,Data Analytics,Tableau,Statistical Data Analysis,Database Administration,Database Development,Artificial Intelligence,Natural Language Processing,Database Design,Recommender Systems,Psychology,Database Queries,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
224,thevinaymittal,SQL,Machine Learning,Problem Solving,English,Leadership,Public Speaking,Deep Learning,Python,Data Mining,Data Visualization,Data Science,Logistic Regression,Linear Regression,Artificial Neural Networks,Support Vector Machine SVM,KNearest Neighbors KNN,Decision Trees,Image Processing,OpenCV,Computer Vision,Artificial Intelligence AI,Business Analysis,Google Cloud Platform GCP,TensorFlow,Keras,Regression Analysis,Big Data,Cloud Computing,Amazon Web Services AWS,Communication,Matplotlib,ScikitLearn,Neural Networks,Microsoft Azure Machine Learning,Convolutional Neural Networks CNN,Deep Neural Networks DNN,Recurrent Neural Networks RNN,Regression Models,Supervised Learning,Visualization,Business Communications,Random Forest,IBM Cloud,Cluster Analysis,Business,Entrepreneurship,Servers,nan,nan,nan,nan,
225,ymittal23,C,Python Programming Language,PHP,SQL,HTML,Microsoft Word,Machine Learning,Data Analysis,English,Microsoft Office,CSS,Public Speaking,C,Microsoft Excel,Customer Service,Deep Learning,Python,Data Visualization,Data Science,Data Analytics,Predictive Modeling,PowerPoint,R,Probability,Statistical Modeling,Computer Vision,Artificial Intelligence AI,Research,Analytics,Business Analysis,Google Cloud Platform GCP,Exploratory Data Analysis,Predictive Analytics,TensorFlow,PyTorch,DevOps,Strategic Planning,Amazon Web Services AWS,Windows,Outlook,Neural Networks,RESTful WebServices,Convolutional Neural Networks CNN,Natural Language Processing,Reinforcement Learning,Pandas,Negotiation,Statics,nan,nan,nan,
226,viraj-kulathunge,Java,C,JavaScript,MySQL,SQL,HTML,Machine Learning,Scala,Databases,Problem Solving,Teamwork,C,Python,Algorithms,Data Mining,Team Leadership,Data Science,Hadoop,Linear Regression,Tableau,Decision Trees,Matlab,Computer Vision,Artificial Intelligence AI,Analytical Skills,R Programming Language,Apache Spark,PySpark,Django,Software Engineering,Networking,OOP,Pattern Recognition,Splunk,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
227,mahmoudsabrygamal,Python Programming Language,MySQL,SQL,Machine Learning,Data Analysis,English,C Programming Language,Microsoft Office,Teamwork,Leadership,Project Management,Computer Science,Microsoft Excel,Deep Learning,Data Structures,Algorithms,Natural Language Processing NLP,Data Visualization,Data Science,Data Analytics,Artificial Neural Networks,Tableau,Time Series Analysis,Matlab,Computer Vision,Artificial Intelligence AI,Research,Management,Microsoft Power BI,Machine Learning Algorithms,TensorFlow,PyTorch,Docker Products,Amazon Web Services AWS,Engineering,Pandas Software,NumPy,ScikitLearn,Applied Machine Learning,Feature Engineering,Neural Networks,Deep Neural Networks DNN,Recurrent Neural Networks RNN,Seaborn,GitHub,Data Manipulation,cc,Pandas,nan,nan,nan,
228,anoop-mudholkar,SQL,Linux,Machine Learning,Databases,Microsoft Office,Teamwork,Python,Data Visualization,Statistical Data Analysis,Management,Apache Spark,Big Data,Amazon Web Services AWS,Database Development,AWS SageMaker,Natural Language Processing,IBM DB,COBOL,Presto,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
229,karthik-ravichandran-181173a9,python,Machine Learning,Programming,Microsoft Office,Leadership,Microsoft PowerPoint,Deep Learning,Algorithms,Data Science,Artificial Neural Networks,Image Processing,Matlab,Computer Vision,Digital Image Processing,Networking,NumPy,Neural Networks,Internet of Things,IP Networking,machine learning,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
230,raman-behara-850343b6,C,MySQL,SQL,Microsoft Word,Machine Learning,Data Analysis,Public Speaking,Microsoft Excel,Deep Learning,Python,Data Structures,Statistics,Data Visualization,Data Science,Tableau,Management,TensorFlow,NumPy,ScikitLearn,Neural Networks,Natural Language Processing,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
231,dkharshanath,Java,JavaScript,Python Programming Language,MySQL,SQL,HTML,Machine Learning,Data Analysis,Databases,Programming,Microsoft Office,Leadership,C,ObjectOriented Programming OOP,Deep Learning,Data Mining,Natural Language Processing NLP,Data Visualization,Data Science,Data Analytics,Predictive Modeling,R,Time Series Analysis,Statistical Data Analysis,Artificial Intelligence AI,Research,Analytics,Business Analysis,Predictive Analytics,TensorFlow,Big Data,Data Modeling,Communication,C,Business Analytics,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
232,akash-chaple-12442a106,Python Programming Language,MySQL,SQL,Microsoft Word,Machine Learning,Data Analysis,Microsoft Excel,Customer Service,Statistics,Data Visualization,Data Science,Predictive Modeling,Tableau,Statistical Data Analysis,Team Management,Mathematics,Business Analysis,Strategic Planning,Business Strategy,Data Modeling,Project Planning,Pandas Software,NumPy,Troubleshooting,Quality Control,Vendor Management,electrical planning,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
